Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270066","Holdings without land","2010","2009-2010","No","964863","A","Official figure",""
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270030","Holdings with land size 0-<1","2010","2009-2010","No","3428424","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270031","Holdings with land size 1-<2","2010","2009-2010","No","622844","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270032","Holdings with land size 2-<3","2010","2009-2010","No","196031","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270034","Holdings with land size 3-<4","2010","2009-2010","No","49058","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270035","Holdings with land size 4-<5","2010","2009-2010","No","36551","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270036","Holdings with land size 5-<10","2010","2009-2010","No","72897","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270037","Holdings with land size 10-<20","2010","2009-2010","No","24300","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270038","Holdings with land size 20-<50","2010","2009-2010","No","6897","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","270039","Holdings with land size 50-<100","2010","2009-2010","No","1202","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","2700300","Holdings with land size 100-<200","2010","2009-2010","No","850","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","818","Egypt","60850","Number","2700301","Holdings with land size 200-<500","2010","2009-2010","No","478","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270066","Holdings without land","2020","2017","No","2454","A","Official figure","The data is only for commercial farmers (those registered for tax). Farmers not registered for tax are not included."
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270031","Holdings with land size 1-<2","2020","2017","No","1027","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270032","Holdings with land size 2-<3","2020","2017","No","682","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270034","Holdings with land size 3-<4","2020","2017","No","602","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270035","Holdings with land size 4-<5","2020","2017","No","541","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270036","Holdings with land size 5-<10","2020","2017","No","1861","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270037","Holdings with land size 10-<20","2020","2017","No","2522","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270038","Holdings with land size 20-<50","2020","2017","No","4199","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","270039","Holdings with land size 50-<100","2020","2017","No","3764","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700300","Holdings with land size 100-<200","2020","2017","No","4121","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700301","Holdings with land size 200-<500","2020","2017","No","5591","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700302","Holdings with land size 500-<1000","2020","2017","No","4208","A","Official figure",""
"WCAD","Structural data from agricultural censuses","710","South Africa","60850","Number","2700303","Holdings with land size 1000-<2500","2020","2017","No","8550","A","Official figure",""
